Ticker,Model,Accuracy,Precision,Recall,F1-Score,Tomorrow_Up_Prob,Tomorrow_Down_Prob
SPY,RandomForest,0.5723684210526315,0.5777027027027027,0.9715909090909091,0.7245762711864406,0.91,0.09
SPY,SingleLayerLSTM,0.5723684210526315,0.5761589403973509,0.9886363636363636,0.7280334728033473,0.6856554746627808,0.31434452533721924
SPY,DoubleLayerLSTM,0.5789473684210527,0.5789473684210527,1.0,0.7333333333333333,0.70988929271698,0.29011070728302
SPY,SingleLayerBiLSTM,0.48026315789473684,0.538135593220339,0.7215909090909091,0.616504854368932,0.7371180653572083,0.26288193464279175
SPY,DoubleLayerBiLSTM,0.5394736842105263,0.5656934306569343,0.8806818181818182,0.6888888888888889,0.6851608157157898,0.3148391842842102
QQQ,RandomForest,0.5888157894736842,0.5876288659793815,0.9715909090909091,0.7323340471092077,0.86,0.14
QQQ,SingleLayerLSTM,0.569078947368421,0.576271186440678,0.9659090909090909,0.721868365180467,0.6042053699493408,0.3957946300506592
QQQ,DoubleLayerLSTM,0.5756578947368421,0.5867158671586716,0.9034090909090909,0.7114093959731543,0.6221509575843811,0.3778490424156189
QQQ,SingleLayerBiLSTM,0.5657894736842105,0.5748299319727891,0.9602272727272727,0.7191489361702128,0.7736634016036987,0.22633659839630127
QQQ,DoubleLayerBiLSTM,0.5625,0.5723905723905723,0.9659090909090909,0.718816067653277,0.6884714365005493,0.3115285634994507
0050.TW,RandomForest,0.5136986301369864,0.53,0.6883116883116883,0.5988700564971752,0.52,0.48
0050.TW,SingleLayerLSTM,0.5376712328767124,0.5331010452961672,0.9935064935064936,0.6938775510204082,0.6990289688110352,0.30097103118896484
0050.TW,DoubleLayerLSTM,0.5273972602739726,0.5273972602739726,1.0,0.6905829596412556,0.6682220697402954,0.3317779302597046
0050.TW,SingleLayerBiLSTM,0.5205479452054794,0.525,0.9545454545454546,0.6774193548387096,0.8767287135124207,0.12327128648757935
0050.TW,DoubleLayerBiLSTM,0.5205479452054794,0.5251798561151079,0.948051948051948,0.6759259259259259,0.841460108757019,0.15853989124298096
